input,output,meaning,pos,num_cognates
[grc] ἆλτο [san] असरत् [san] सरति [san] सिसर्ति [grc] ἱάλλω [grc] ἰάλλω [san] ससार [txb] salamo [xto] salat [san] सारयति [san] सृत [lat] saltus [san] सृ,*sel-,"jump, spring",root,13
[lat] creō [lat] crēscō [lat] crēber [grc] κόρος [gmy] 𐀒𐀺 [xcl] սեր [xcl] սերեմ [xcl] սերիմ [xcl] սեռ [xcl] սերմն [xcl] սերտ [goh] hirso,*ḱer-,"to grow, to make grow, to nourish",root,13
[sqi] thur [xcl] սարդ [sqi] thark [xcl] սարիք [xcl] սարք [grc] καῖρος [san] शृङ्खल,*ḱer-,"to plait, weave, rope, string",root,7
[lat] grānum,*ǵr̥h₂nóm,grain,noun,1
[xcl] հին [got] 𐍃𐌹𐌽𐌴𐌹𐌲𐍃 [grc] ἕνος [san] सन [lat] senex,*sénos,old,adj,5
[lat] signum [sqi] shat [lat] secula [lat] secūris [non] sigg [bre] hesq [mid] hescenn [lat] sexus [lat] saxum [lat] sacēna,*sek-,"to cut, cut off, sever",root,12
[sqi] tym [lat] fūmus,*dʰuh₂mós,smoke,noun,2
[sqi] dhashë [sqi] dhunti [sqi] dhuroj [hye] տալ [san] दामन्,*deh₃-,to give,root,5
[cym] crynu [cym] ergryn [sga] ara·chrin [ell] κρίνω [lat] cernō [lat] crībrum [ell] κρίμα [lat] crīmen [grc] κριτός [lat] certus [lat] crētus,*krey-,"to sift, separate, divide",root,12
[grc] καπᾱ́να [lat] dis-cipulus [sga] cúan [old] haban [old] havan [mid] haven [cym] cawg [gle] cuach [gla] cuach [grc] καῦκος [grc] κῆπος [grc] κώπη,*kap-,"to seize, to grab, to hold",root,17
[lat] *caps [lat] -ceps,*kap-,"head, bowl, cup",root,2
[gle] duaidh [non] át [lat] ēdī [san] आदयति [xcl] ուտեմ [xto] yats [txb] yetse [san] अत्तृ [lat] ēsor [grc] ᾱ̓́ρῑστον [san] अन्न [grc] εἶδαρ [san] व्यद्वर [xcl] նաւթի [grc] νῆστις [sqi] ha [xlu] 𒀀𒁺𒈾,*h₁ed-,to eat,root,17
[sqi] gak [sqi] ka [xcl] կով [lav] govs [txb] kaiyye,*gʷṓws,cattle,noun,6
[sqi] gjatë [hit] 𒁍𒁕𒀸 [grc] δολιχός,*dl̥h₁gʰós,long,adj,3
[sqi] vesh [xcl] ունկն [xcl] ականջք [lav] auss [lit] ausis [prg] āusins [ell] αυτί [eng] aur- [lat] auricula,*h₂ṓws,ear,noun,11
[grc] ἔοργε [ell] οργή [grc] -ουργός [gmy] -𐀺𐀒 [sqi] argëtoj [sqi] argëtim [grc] ὄργανον [grc] ὄργιον [grc] ὄργῐᾰ [gmy] 𐀺𐀫𐀑𐀍𐀚𐀍 [san] स्ववृष्टि [xto] wärkṣäl [txb] warkṣäl,*werǵ-,to make,root,15
[prg] wackis [lav] vāci [lit] vokietis [grc] ὄψ,*wṓkʷs,"voice, speech",noun,4
[sqi] quaj [lav] slava [lav] slave [lit] šlovė [xto] ñomklyu [txb] ñemkälywe,*ḱléwos,fame,noun,6
[xcl] գոչեմ [grc] ἔπος [san] वक्त्र [gle] fuaim [gla] fuaim [grc] ὄσσα [grc] ὄττα [grc] εὐρύοπα [san] उक्थ [ave] 𐬎𐬑𐬜𐬀 [hit] huek- [hit] huk- [prg] enwackē,*wekʷ-,"to speak, to sound out",root,13
[fas] سرودن [lav] sluvêt [lat] clueō [grc] κλειτός [hye] լուր [san] श्रुति [san] श्रोत्र [ave] 𐬯𐬭𐬎𐬌𐬌𐬉 [san] श्रु,*ḱlew-,to hear,root,11
[hit] 𒋗𒌒𒉺𒊑 [san] स्वपिति [san] स्वपति [san] स्वापयति [non] sǿfa [lat] sōpiō [san] सुष्वाप [hit] 𒋗𒌒𒈦𒉿𒀭𒍝 [hit] 𒋗𒌒𒉺𒊑𒅀𒉡𒌦 [grc] ὕπᾰρ [chu] съниѥ [txb] sänmetse [lit] sapnỹs [san] स्वप्न्यम् [lat] somnium [xcl] քուն [lat] somnus [lat] sopor [san] सुप्त [ave] 𐬓𐬀𐬠𐬛𐬀- [san] स्वप्,*swep-,to sleep,root,41
[grc] εἴδομαι [xcl] եգիտ [grc] εἶδον [san] अविदत् [hye] գտնել [sga] ro·finnadar [san] विन्दति [mid] 𐫇𐫏𐫗𐫅𐫏𐫗𐫅 [sga] foídid [san] वेदयति [grc] εἶδος [san] वेदस् [san] वेद [san] वेद्या [grc] εἴδωλον [lav] vēsts [san] वित्ति [lat] vīsus [grc] Ἀΐδης [grc] ἀϊδής [grc] νῆις [grc] ἴδμων [san] विद्मन् [grc] ἴδρις [san] विद्या [sqi] vizë [xcl] գիւտ [lav] viedêt [lit] veizdė́ti [lit] vaizdas [prg] widdai [grc] ἀΐδηλος [grc] ἀείδελος [lat] vīdī [san] विद्,*weyd-,to see,root,35
[grc] μένος,*ménos,"mind, thought",noun,1
[san] वमति [lat] vomō [grc] ἐμέω [grc] ἔμεσις [grc] ἔμετος [lat] vomitus [sqi] umas [lit] vėmalai,*wemh₁-,"to spew, to vomit",root,8
[lav] škibît [lit] skiẽbti [gle] sceith [gla] sgeith [swe] skäde [lat] sciō [lav] šķiets [lit] skietas [lat] scūtum [sqi] shqisë [gle] scian [gla] sgian [eng] skean [eng] skene [eng] skeyn [cym] ysgien,*skey-,"to split, to dissect",root,23
[non] vagl [grc] ὄχλος [san] ऊढि [lat] vectis [san] ऊढ [lat] vēlum [san] वहित्र [lat] vehiculum [lat] vector [sqi] udhë [sqi] vjedh [lat] via [lat] vomer,*weǵʰ-,"to bring, to transport",root,14
[lav] vārds [lit] var̃das [prg] wirds,*werdʰh₁om,word,noun,3
[grc] ἀντίος [san] अन्त्य [ave] -𐬀𐬧𐬛𐬌𐬌𐬀 [ave] 𐬞𐬁𐬭𐬀𐬧𐬛𐬍 [ave] 𐬞𐬁𐬭𐬆𐬧𐬛𐬀𐬌 [lat] antiae,*h₂entíos,"front, forehead",noun,6
[san] अप् [gmy] 𐀃𐀞 [gmy] *h₃erbʰ- [lat] ops [lat] cōpia [hit] 𒄩𒀊𒁉𒈾𒀭𒍝 [lat] opulentus [lat] omnis [san] अप्नस् [hit] 𒄩𒀀𒀊𒈦 [lit] apstus [sqi] punë [xcl] *աւն [grc] ὄμπνη,*h₃ep-,"to work, toil, make, ability, force",root,16
[sqi] e- [xcl] ան-,*n̥-,"not, un-",prefix,2
[gle] sneachta [gla] sneachda [cym] nyf [cym] *snigʷo- [grc] νίψ* [san] स्निह् [lat] nix,*snígʷʰs,snow,noun,11
[san] स्नेह,*snóygʷʰos,snow,noun,1
[grc] αἴνυμαι [gmy] 𐁁𐀝𐀕𐀜 [grc] αἶσα [sga] óeth [grc] οἶτος [xto] e- [txb] ai-,*h₂ey-,"to give, to be given; to receive, take",root,7
[ave] 𐬀𐬌𐬌𐬀𐬭𐬆,*h₂ey-,"day, morning",root,1
[grc] λᾱκέω [grc] ληκέω [grc] λάσκω [grc] λακερός [lat] lancinō [lat] lacer [lat] lacerō [grc] λᾰκίς [grc] λᾰκίζω [san] रायति [ave] 𐬭𐬀𐬌𐬌𐬀𐬧𐬙 [grc] λᾰ́λος [lat] lallō [grc] λῆρος [lat] lāmentum [lat] lātrō [sqi] leh,*leh₂-,"to bark, howl",root,17
[grc] λᾱ́θω [grc] λήθω [grc] λανθάνω [grc] λᾶθος [grc] λῆθος [grc] λήθη [grc] λάθρῃ [grc] λαθι(κηδής) [lat] lateō [hit] 𒌋𒆷𒂊 [chu] лаяти [ces] lákat [non] lómr [mid] luo [san] लयते [xto] lät [txb] lät,*leh₂-,to be concealed,root,17
[ave] 𐬰𐬀𐬎𐬎𐬀𐬌𐬙𐬌 [lav] zavêt [lit] žavė́ti [txb] kwā- [sqi] zulmë [xcl] ձաւնեմ [grc] καυχάομαι [san] जोहवीमि [ave] 𐬰𐬀𐬊𐬰𐬀𐬊𐬨𐬍 [san] ह्वे,*ǵʰewH-,"to call on, invoke",root,10
[lat] legō [xto] läk- [txb] läk- [lat] lēx [san] स्रज् [lat] lignum [lat] legūmen [grc] λόγος [mid] lazūr,*leǵ-,"to gather, collect, with derivatives meaning to speak by carefully selecting one's words.",root,9
[hit] 𒇷𒅁𒍣 [hit] 𒇷𒉺𒀀𒄑𒍣 [isl] lafa [grc] λοβός [fas] لب [lat] labium [lat] labrum [goh] laffan [lat] lambō [nld] lepel [goh] leffil [sqi] lap [xcl] լափեմ [lit] lapènti [rus] ло́пать [rus] лобзать [bul] лапам [grc] λάπτω [grc] λαφύσσω,*leb-,"to hang down loosely, lip, to lick",root,25
[hit] 𒇻𒊌𒅗𒊑 [san] रुचान [san] रोचते [ave] 𐬭𐬀𐬊𐬗𐬀𐬥𐬙- [grc] λεύσσω [hit] 𒇻𒊌𒆠𒄑𒍣 [hye] լուցել [san] रुरोच [grc] (ἀμφι)λύκη [grc] λυκά(βας) [grc] λυκό(φως) [grc] Λυκαῖος [grc] λύκειος [prg] luckis [san] रुक्म [lat] lūcubrō [fas] لوخن [lat] luscus [lat] lūmen [grc] λύχνος [lat] lūstrum [lat] lūstrō [sqi] lekë [sqi] lakur [sqi] loqe [sqi] gloq [xcl] լուսանունք [xcl] լուսն [sga] luchair [cym] llug [bre] luc'hed [cym] lluched [sga] lóchet [bre] lagad [cym] llygad [grc] λύγξ [lat] lucerna [san] रुच् [xto] luk- [txb] luk-,*lewk-,"bright, to shine, to see",root,44
[sga] lingid [sga] ·ling [san] रङ्घति [san] रङ्घते [san] लङ्घते [sqi] lehtë [grc] ἐλᾰ́χιστος [sga] laigiu [cym] llai,*h₁lengʷʰ-,"to move lightly, effortlessly, lightweight",root,11
[grc] λέκτο [grc] λέχομαι [txb] lyäk- [xto] lyäk [txb] lykuññe [grc] λέχος [lat] lectus [ell] λέκτρο [eng] Leicester [fra] Loire [old] lies [prg] lasto [prg] *logʰ-sth₂-eh₂ [txb] lest [txb] lesto [xto] lyāk [txb] lyāk [txb] lyśalyñeṣṣe,*legʰ-,to lie (to be in resting position),root,21
[grc] πυνθάνομαι [san] बुध्यते [ave] 𐬠𐬏𐬌𐬜𐬌𐬌𐬀𐬉𐬙𐬀 [cym] rhybudd [sga] robud [san] बोध [xto] pot- [txb] paut- [lav] bust [lit] bùsti [grc] πῠ́στῐς [san] बुद्धि [ave] 𐬠𐬎𐬯𐬙𐬌 [cym] bodd [san] बुध,*bʰewdʰ-,"to be awake, be aware",root,15
[sqi] mund [old] mendian [mid] menden [grc] μανθάνω,*men(s)dʰh₁-,"vivacious, wisdom, to pay attention to",root,4
[lav] -tus [lit] -tus [grc] -τύς [lat] -tum [lat] -tus [san] -तु [san] -तुम् [san] -तवे [san] -तोस्,*-tus,Derives action nouns from verb roots.,suffix,9
[lav] -tis [lit] -tis [lav] -t [lit] -ti [san] -ति [ave] -𐬙𐬌 [lat] -tim,*-tis,Derives abstract/action nouns from verb roots.,suffix,7
[sqi] -më [xcl] -ումն [xcl] -աւն [grc] -μᾰ [grc] -μεν [lat] -men,*-mn̥,Creates action nouns or result nouns from verbs.,suffix,6
[grc] -μος [grc] -μός [lat] -mus,*-mos,Creates action/result nouns from verb stems.,suffix,3
[grc] -τωρ [san] -तृ [san] -ता [lat] -tor,*-tōr,"Derives agent nouns from verb roots, denoting someone or something who has performed the root's action.",suffix,4
[grc] γενέτωρ [san] जनितृ [ave] 𐬰𐬄𐬚𐬀𐬭 [lat] genitor,*ǵénh₁tōr,"one who begets, produces, parent",noun,4
[grc] -τήρ [san] -तृ [san] -ता,*-tḗr,"Derives agent nouns from verb roots, denoting someone or something whose role or purpose it is to perform the root's action.",suffix,3
[san] अप्राट् [ave] 𐬟𐬭𐬀𐬱𐬍 [xto] prakäs [txb] preksa [cym] rheg [san] प्राश् [ave] 𐬟𐬭𐬀𐬯𐬁 [ave] 𐬟𐬆𐬭𐬀𐬯𐬁 [ita] prece [por] prece [lat] precor [ita] proco [por] proco [lat] procō [xcl] հարսն [lit] pir̃šti [lat] percontor [xto] pärk- [txb] pärk-,*preḱ-,to ask,root,19
[san] अधृत [san] धृथास् [ave] 𐬛𐬆𐬭𐬆𐬙𐬁 [ave] 𐬛𐬭𐬍𐬙𐬁 [lav] derêt [lit] derė́ti [san] दिधृतम् [ave] 𐬬𐬌𐬛𐬌𐬜𐬁𐬭𐬆𐬨𐬥𐬀- [san] दाधार [san] दधार [san] दध्रे [san] दधर्तु [lav] darît [lit] darýti [san] धर्मन् [san] धर्म [lit] darna [lat] firmus [lat] ferē [lat] fermē [lat] frēnum [lat] frētus [sga] drong [grc] θράω [grc] θρᾶνος [grc] θρῆνυς [grc] θρόνος,*dʰer-,"to support, to hold",root,29
[hit] 𒀠𒉺𒀸 [grc] ἀλφός,*albʰós,white,adj,2
[hye] այլ [san] अर्य [txb] ālyauce,*h₂élyos,"other, another",det,3
[txb] *ārtk- [san] ऋध्नोति [san] ऋध्यति [lat] arbor [lat] arbōs [san] ऋद्धि [san] समृद्ध [gle] ard [gla] àrd [bre] arz [cym] ardd [grc] ὀρθός [gmy] 𐀃𐀵𐀺- [lat] arduus [grc] ὄρθρος [hit] harduppi [xto] orto,*h₃erdʰ-,"to increase, grow, upright, high",root,17
[lat] fruor [lat] frūctus [lat] frūmen [lat] frūmentum [grc] φάρυγξ [xcl] երբուծ,*bʰruHg-,to make use of; have enjoyment of,root,7
[san] राष्टि [san] राजति [lit] rę́žti [lav] rìezt [lav] *ren̂zt [san] ऋञ्जते [grc] ὤρεξα [lat] rēxī [lat] rēgula [lat] regimen [sga] díriuch [lav] redzēt [lit] règti [lit] regė́ti [san] राजि,*h₃reǵ-,"to straighten, to righten",root,21
[lav] dziêdu [lit] gi̇́edu [rus] га́ять [san] गायति [san] गासि [san] गाथ [san] गाथा [san] गीत [san] गै,*geH-,"to sing, to cry",root,15
[lat] ligō [sqi] lidh,*leyǵ-,"to bind, tie",root,2
[rus] мета́ть [bul] мятам [pol] miotać [lat] mittō,*smeyt-,to throw,root,4
[grc] ὀρεκτός [lat] rēctus,*h₃reǵtós,"straightened, right, upright",adj,2
[sqi] -të [grc] -τός [lat] -tus [lat] -sus,*-tós,Creates verbal adjectives from verb roots.,suffix,6
[xcl] -եմ [lav] -īt [lit] -yti [sga] -id [grc] -έω [lat] -eō [san] -अयति [ave] -𐬀𐬌𐬌𐬈𐬌𐬙𐬌 [sqi] -së,*-éyeti,"Forms causative imperfective verbs from roots., Forms iterative or frequentative imperfective verbs from roots.",suffix,9
[grc] -έω [san] -अयति [ave] -𐬀𐬌𐬌𐬈𐬌𐬙𐬌,*-éyeti,Forms imperfective verbs from roots.,suffix,3
[hye] հեծնել [ces] sedat [pol] siadać [lat] sēdō [san] ससाद [ave] 𐬵𐬀𐬰𐬛𐬌𐬌𐬁𐬝 [lat] sēdī [lat] cēdō [lat] sēdēs [lat] (dē)ses [lat] (prae)ses [grc] ἕσις [lat] sessiō [grc] ἕδος [san] सदस् [cym] hedd [non] setr [ang] set [ell] οδός [san] साद [ang] gesæt [mid] sawdd [lit] súodžiai [gle] suí [gla] suidhe [cym] sedd [lat] solium [lav] sàds [lit] sõdas [xcl] ետղ [xcl] տեղ [grc] ἕλλα [lat] sella [grc] -εδρος [grc] ἕδρα [sqi] gjazë [xcl] զիստ [xcl] առիճ [lav] segli [grc] ἱδρύω [non] sæti [ang] sǣte [san] सद्,*sed-,to sit,root,43
[sga] ad·suidi [san] सादयति [ave] 𐬥𐬌𐬱𐬁𐬜𐬀𐬌𐬌𐬈𐬌𐬙𐬌 [old] 𐎴𐎡𐎹𐏁𐎠𐎭𐎹𐎶,*sodéyeti,"to set, to seat, to cause to sit",verb,4
[grc] -έω [grc] -όω [grc] -πτω [grc] -σσω [grc] -ττω [grc] -ζω [grc] -λλω [grc] -ιCω [lat] -iō [san] -यति [san] -यते [ave] -𐬌𐬌𐬈𐬌𐬙𐬌,*-yéti,"Creates intransitive, often deponent, imperfective verbs from roots.",suffix,14
[lat] aceō [grc] ἀκίς [xcl] ասեղն [rus] осело́к [chu] осла [pol] osełka [lat] aciēs [lat] acia [lav] ass [lav] ašs [lat] acuō [txb] akwam [txb] akwatse [grc] ἀκμή [lat] agna [grc] ἀκή [ell] οξύς [lav] aksts [lit] aksti̇̀s [rus] ость [ces] osť [pol] ość [lav] akstins [lit] ãkstinas [sga] aitten [cym] eithin [bre] bezhin [txb] āśce [lat] astūtus [sqi] ath [sqi] eh [sqi] thua [xcl] հասկ [hye] ոսի [ave] 𐬀𐬯𐬏𐬭𐬀 [fas] آچار [pus] اښار,*h₂eḱ-,sharp,root,70
[txb] āks-,*h₂ḱh₂owsyéti,"to be sharp-eared, to hear well",verb,1
[ave] 𐬭𐬁𐬰𐬀𐬌𐬌𐬈𐬌𐬙𐬈,*h₃roǵéyeti,"to straighten, to make straight, to cause to be straight",verb,1
[sqi] tëtanë [sqi] Dedë [hit] 𒌅𒍖𒍣𒅖 [lav] tàuta [lit] tautà [prg] tauto,*tewtéh₂,"heap, pile; crowd ?, people, tribe",noun,6
[san] हरति [san] अहृथास् [san] जह्रुर् [grc] χορός,*ǵʰer-,"to take, get",root,4
[grc] χόρτος [txb] kerccī,*gʰórtos,enclosure,noun,2
[grc] ἄω [lat] satis [xcl] ատ-ոք [xcl] յ-ագ [grc] ἅδην [san] असिन्व,*seh₂-,"to satiate, satisfy",root,7
[cym] erch [gle] earc [gla] earc [lat] perca [grc] πέρκος [grc] περκαίνω [grc] περκάς [grc] περκάζω [grc] περκόομαι [san] पृशत् [grc] πρόξ [grc] προκᾰ́ς [grc] πρώξ [grc] περκνός [grc] πρακνόν [sqi] prënjkë [san] पृश्नि [mid] plš [lat] pulcher,*perḱ-,"colored, speckled",root,26
[nor] fere [san] पर्शान [lat] porca [lit] prapar̃šas,*perḱ-,"to open, rip up, to dig",root,4
[ell] αφαλός [ell] ομφαλός [eng] omphalos [lat] umbilīcus,*h₃nóbʰōl,navel,noun,5
[grc] μάντις [lat] mēns [lat] mentior,*méntis,thought,noun,3
[san] पिशान [san] पिंशति [old] 𐎠𐎱𐎡𐎰 [old] 𐎴𐎡𐎹𐎱𐎡𐎰𐎶 [lat] pingō [xto] pikiñc [xto] pik- [txb] piṅkäṃ [txb] pik- [lit] piẽšti [prg] peisāi [ell] πικρός [san] पिष्ट [ave] 𐬟𐬭𐬀𐬞𐬌𐬑𐬱𐬙𐬀 [fas] سبشت [lat] pictus [lit] paišai̇̃ [lit] piẽšas [eng] poikilo- [eng] poecilo- [ell] ποικίλος [lat] Poecilē [gmy] 𐀡𐀑𐀫𐀝𐀏 [rus] пегий [san] पिशङ्ग [hye] պիսակ [san] पिङ्ग [san] पिश्,*peyḱ-,"to hew, cut out, to stitch, embroider, sting, to paint, mark, color",root,28
[lit] pei̇̃kti [lav] pikts [lit] pi̇̀ktas [sga] óech [lav] pîkt [lit] pỹkti [san] पिशुन,*peyḱ-,"hostile, angry, enemy, evil",root,7
[hye] դուրգ [sga] droch [grc] τροχός [lit] padróžti [lav] drāžu [hye] դարձ,*dʰregʰ-,"to run, to drag, to pull",root,9
[lat] nōbilis [grc] γνώμη [lat] grōma [grc] γνώμων [san] ज्ञान [lat] glōria [grc] γνῶσις [mid] znt' [san] ज्ञाति [lat] nōtiō [lat] gnāvus [isl] kyn [gle] gnúis [gla] gnùis [mid] gnis,*ǵneh₃-,"to recognise, to know",root,15
[sqi] mjez [hye] մեջ [lit] mẽdis [lav] mežs [prg] median,*médʰyos,middle,adj,6
[grc] ἐν- [grc] ἀ- [grc] ἀδελφός [fra] in- [fra] en-,*h₁n̥-,"in, in-",prefix,5
[xcl] երեկ [xcl] երէկ [grc] Ἔρεβος [san] रजस्,*h₁régʷos,darkness,noun,4
[lat] āreō [txb] osotär [hit] 𒄩𒀀𒀸 [hit] 𒄩𒀸𒊭𒀀𒀸 [lyc] 𐊜𐊀𐊛𐊀𐊅𐊆 [lat] āra [xcl] հաստեայ [xcl] ոստին [ces] ozditi [grc] ἄζω [xcl] աստուճ [lat] assus [ang] ōm [ang] ōme [deu] Ahm [deu] Ohm [isl] ámur [xcl] աճիւն [xcl] ասկն [grc] ἄσβολος [grc] ἀσβόλη [xcl] ազազեմ [goh] essa [san] आस [fas] آهک [xto] asatär [xto] āştär [txb] astare [xto] ās- [txb] ās-,*h₂eHs-,"to be dry, to dry, to burn, to glow, hearth, ashes",root,31
[lav] làicît [lit] laikýti [prg] laikūt [san] रेचयति [ave] 𐬭𐬀𐬉𐬗𐬀𐬌𐬌𐬈𐬌𐬙𐬌 [san] रिक्थ [san] ऋक्थ [lav] likt [lav] lieks [lit] likti [rus] лишать [grc] ἔκλειψις [grc] λείπω [gla] dìleab,*leykʷ-,to leave,root,14
[sga] ·ara [grc] ἤροσα [grc] ἄροτος [lat] arātum [grc] ἄρουρα [san] उर्वरा [lat] arvus [sqi] arë [xcl] հարաւունք [xcl] *h₂erh₃-won- [xcl] արաւս,*h₂erh₃-,to plough,root,11
[hye] արոր [lat] arātrum,*h₂érh₃trom,"plough, ard",noun,3
[lat] aes,*h₂éyos,"a metal, copper, bronze",noun,1
[lat] dēfendō [lat] offendō [sqi] gjuaj [xcl] ջնջեմ [lav] dzenêt [lit] genė́ti [grc] θείνω [sga] geguin [grc] πέφαται [san] जघान [san] जघ्नुर् [ave] 𐬘𐬀𐬖𐬥𐬎𐬎𐬁𐬵 [hit] 𒆪𒀸𒆠- [hit] 𒆪𒉿𒀸𒆠- [txb] käsk- [grc] ἔπεφνον [ave] 𐬥𐬌𐬘𐬀𐬖𐬥𐬆𐬧𐬙𐬈 [ave] 𐬀𐬎𐬎𐬀𐬘𐬀𐬖𐬥𐬀𐬝 [xcl] գան [xcl] գանեմ [san] हन् [fas] زَن,*gʷʰen-,"to strike, slay, kill",root,31
[grc] ἄγχω [lat] angō [lat] angustus [lat] ānxius [sqi] angësht [xcl] անձաւ [grc] ἀγχοῦ [grc] ἄγχι,*h₂enǵʰ-,"to constrict, tighten, compress, narrow, tight, distressed, anxious",root,8
[san] स्रावयति [grc] ῥεῦμα [ell] ρύση [san] स्रुति [sqi] rrymë [sqi] rrym [lav] stràuma [grc] Στρυμών [lav] strava [lav] stràvа [lav] strāva [lit] prasrava [ell] ροή [san] गिरिस्रवा [grc] ῥόος [san] स्राव [lit] sraũtas [xcl] առու [grc] ῥοία [grc] ῥυτός [san] स्रुत [grc] ῥυτόν [grc] ῥυθμός [grc] ῥέεθρον [grc] ῥεῖθρον [xcl] գետ-առ [lav] strāve [lit] srovė [lit] strovė̃ [lav] stràume [lit] sraumuõ [lit] straumuo [lit] sriaumė [lit] sravėti [san] स्रु,*srew-,"to flow, stream",root,39
[hit] 𒁄𒄭𒅖 [sqi] pëllëmbë [sqi] pllâmë [grc] παλάμη [lat] palma [lat] plānus [lav] plâns [lit] plonas [prg] plonis [lat] planta [bre] loer [cym] llawdr [gle] láthair [gla] làthair [lat] plautus [lat] palam [xcl] լայն [xcl] *հոլ- [lav] plakans [lit] plakãnas,*pleh₂-,flat,root,44
[san] अपात् [grc] πῶθι [san] पपौ [grc] πῶμα [grc] πόμα [grc] πόσις [san] पीति [sga] ól [san] पात्र [lat] pōculum [san] पातृ [sqi] pi [sqi] pinë [ell] πίνω [san] पाययति [hit] pa-a-aš-šu-an-zi [prg] poieti [grc] πότος [san] पा,*peh₃-,to drink,root,23
[hye] ամպրոպ [mid] Amir [mid] Amyr [lat] imber [xto] eprer,*n̥bʰrós,"rain-cloud, with semantic narrowing to rain, cloud",noun,11
[lat] ferōx [lat] ferīnus [grc] θήρα [grc] θηράω [grc] θήραμα [xto] śaru [txb] śerwe,*ǵʰwer-,"wild, wild animal",root,7
[grc] θέσσασθαι [grc] ποθέω [lit] pasigèsti [lit] pasigendù [cym] gweddi [gle] geis [gle] guí [gla] guidhe [san] गाध [grc] πόθος [xcl] գոթի [lit] gedė́ti [lit] gedžiù [lit] gedáuti [grc] ποθή,*gʷʰedʰ-,"to request, pray, ask for",root,15
[sqi] hangër [sqi] ngrënë [sqi] ngranë [xcl] եկեր [san] गरन् [san] जगार [san] गिरति [grc] βιβρώσκω [grc] βορά [san] गरा [lat] vorō [grc] βόρος [hye] կեր [san] गर [hye] կոկորդ [san] गीर्ण [sqi] grellë [lit] gi̇̀rtas [grc] βρωτός [ave] 𐬔𐬀𐬭𐬋 [ave] 𐬀𐬯𐬞𐬋𐬔𐬀𐬭𐬆𐬨 [san] गॄ,*gʷerh₃-,"to swallow, devour, eat",root,23
